dish_id,dish_name,dish_size,unit,price,category,location
125,BURRATA & COTTO,38,cm,48.99,Menu główne,Gdańsk
126,NDUJA & CARAMELIZED ONION,38,cm,52.99,Menu główne,Gdańsk
127,TARTUFO & COTTO BIANCA,38,cm,49.99,Menu główne,Gdańsk
128,SALAMI & CHILLI HONEY,38,cm,48.99,Menu główne,Gdańsk
129,KIMCHI PIZZA,38,cm,47.99,Menu główne,Gdańsk
130,PROSCIUTTO CRUDO,38,cm,49.99,Menu główne,Gdańsk
131,QUATTRO FROMAGGI,38,cm,44.99,Menu główne,Gdańsk
132,AïOLI SEASONAL STEAK,450,g,95.99,Menu główne,Gdańsk
133,CLASSIC NY STEAK,450,g,85.99,Menu główne,Gdańsk
134,GREEN PEPPER STEAK,420,g,89.99,Menu główne,Gdańsk
135,SURF & TURF 2.0,525,g,97.99,Menu główne,Gdańsk
136,CHICKEN & PESTO MAFALDINE,300,g,46.99,Menu główne,Gdańsk
137,SALVIA BUTTER RAVIOLI,190,g,44.99,Menu główne,Gdańsk
138,GREEN UDON,390,g,42.99,Menu główne,Gdańsk
139,GNOCCHI AL TARTUFO,380,g,39.99,Menu główne,Gdańsk
140,TAGLIOLINI & SHRIMPS,364,g,56.99,Menu główne,Gdańsk
141,CAESAR,620,G,34.99,Menu główne,Gdańsk
142,PASTRAMI SALAD,370,g,45.99,Menu główne,Gdańsk
143,AïOLI BREAKKIE PIZZA,28,cm,32.99,Śniadania,Gdańsk
144,AïOLI BREAKKIE PIZZA VEGE,28,cm,28.99,Śniadania,Gdańsk
145,TRUFFLE SCRAMBLE TOAST,310,g,29.99,Śniadania,Gdańsk
146,TURKISH EGGS,340,g,32.99,Śniadania,Gdańsk
147,BACON SANDWICH,400,g,34.99,Śniadania,Gdańsk
148,ENGLISH BREAKFAST,550,g,38.99,Śniadania,Gdańsk
149,HUEVOS RANCHEROS,430,g,36.99,Śniadania,Gdańsk
150,SALMON TOAST,310,g,42.99,Śniadania,Gdańsk
151,AVOCADO TOAST,330,g,34.99,Śniadania,Gdańsk
152,BENEDICT ALLA CRISPY PROSCIUTTO,315,g,35.99,Śniadania,Gdańsk
153,SYRNIKI VANILLA & RHUBARB,385,g,34.99,Śniadania,Gdańsk
154,AïOLI BEEF TATAR 2.0,350,,45.99,Menu główne,Katowice
155,AïOLI VEGE TATAR,330,g,37.99,Menu główne,Katowice
156,SWEET POTATO CHIPS,125,g,29.99,Menu główne,Katowice
157,ROASTED CABBAGE,300,g,32.99,Menu główne,Katowice
158,TEMPURA CRISPY WINGS,450,g,39.99,Menu główne,Katowice
159,LOADED FRIES & BEEF BITES,225,g,42.99,Menu główne,Katowice
160,BLACK GARLIC SHRIMPS,220,g,52.99,Menu główne,Katowice
161,BUTTER WINE SHRIMPS,220,g,49.99,Menu główne,Katowice
162,KATAIFI SHRIMPS,230,g,52.99,Menu główne,Katowice
163,AïOLI SHARING MEAT,600,g,79.99,Menu główne,Katowice
164,AïOLI SHARING VEGE,540,g,59.99,Menu główne,Katowice
165,AïOLI SHARING SEAFOOD,570,g,129.99,Menu główne,Katowice
166,CREMA DI POMODORO,450,g,22.99,Menu główne,Katowice
167,ZUPA DNIA,450,ml,22.99,Menu główne,Katowice
168,AïOLI BURGER,520,g,49.99,Menu główne,Katowice
169,SMASH BURGER,310,g,46.99,Menu główne,Katowice
170,PHILLY CHEESESTEAK BURGER,600,g,59.99,Menu główne,Katowice
171,REUBEN SANDWICH,520,g,52.99,Menu główne,Katowice
172,KOREAN FRIED CHICKEN BURGER,550,g,47.99,Menu główne,Katowice
173,MARGHERITA,38,cm,34.99,Menu główne,Katowice
174,TARTUFO & SWEET POTATO CHIPS,38,cm,38.99,Menu główne,Katowice
175,BURRATA & COTTO,38,cm,48.99,Menu główne,Katowice
176,NDUJA & CARAMELIZED ONION,38,cm,52.99,Menu główne,Katowice
177,TARTUFO & COTTO BIANCA,38,cm,49.99,Menu główne,Katowice
178,SALAMI & CHILLI HONEY,38,cm,48.99,Menu główne,Katowice
179,KIMCHI PIZZA,38,cm,47.99,Menu główne,Katowice
180,PROSCIUTTO CRUDO,38,cm,49.99,Menu główne,Katowice
181,QUATTRO FROMAGGI,38,cm,44.99,Menu główne,Katowice
182,AïOLI SEASONAL STEAK,450,g,145.99,Menu główne,Katowice
183,CLASSIC NY STEAK,450,g,85.99,Menu główne,Katowice
